Max Drift,Rapport Period,Amortization Period,Avg. Error,Median Error,Max Absolute Error,Error Standard Deviation
10,10000000,5000000,-1753.788458,-1645,8217,1153.473842
10,20000000,5000000,-1731.206558,-1722,6213,893.8894743
10,30000000,5000000,-1853.090951,-1819,5527,876.6840453
10,40000000,5000000,-2054.411652,-2079,5892,955.3807009
10,50000000,5000000,-2111.307994,-2075,5774,902.6916874
10,60000000,5000000,-2176.549624,-2153,7641,906.7540157
20,10000000,5000000,-1886.608303,-1824,7182,994.1681307
20,20000000,5000000,-2050.070687,-2056,6263,911.8390339
20,30000000,5000000,-2321.302256,-2335,6745,919.8719395
20,40000000,5000000,-2754.160819,-2590,8403,1390.496371
20,50000000,5000000,-2732.149645,-2752,4958,984.1321893
20,60000000,5000000,-2878.894914,-2878,5300,1068.807205
30,10000000,5000000,-1971.323586,-2072,14051,1467.180385
30,20000000,5000000,-2282.564212,-2299.5,4134,913.0552166
30,30000000,5000000,-2565.543007,-2567,4693,981.8972484
30,40000000,5000000,-3079.836747,-3038,7018,1188.844073
30,50000000,5000000,-3178.453006,-3183,5725,1147.066741
30,60000000,5000000,-3506.42676,-3508,6472,1277.367706
40,10000000,5000000,-2040.764007,-2140,11889,1573.226292
40,20000000,5000000,-2573.648522,-2546,5123,970.0325631
40,30000000,5000000,-2901.082475,-2911,5327,1046.483073
40,40000000,5000000,-3350.439307,-3354,6048,1185.66486
40,50000000,5000000,-3897.743306,-3900,7227,1363.040175
40,60000000,5000000,-4186.203424,-4188,7682,1528.249724
50,10000000,5000000,-2303.694733,-2301,5318,1022.75763
50,20000000,5000000,-2712.139696,-2716,4842,977.3238596
50,30000000,5000000,-3304.080764,-3311,6185,1142.298018
50,40000000,5000000,-3935.501649,-3890,9640,1446.507132
50,50000000,5000000,-4250.540765,-4252.5,7936,1555.797347
50,60000000,5000000,-4728.254018,-4729,8755,1801.714784
