Current Real Time,Local Server Time,Remote Est Time,Diff
3366673363,353695655,,#N/A
3366691574,353713866,353713874,8
3367173364,354195656,,#N/A
3367673438,354695781,,#N/A
3367710089,354732381,354732313,-68
3368173440,355195732,,#N/A
3368673442,355695734,,#N/A
3368728581,355750873,355750824,-49
3369173443,356195735,,#N/A
3369673444,356695736,,#N/A
3369746748,356769040,356769139,99
3370173445,357195737,,#N/A
3370673446,357695738,,#N/A
3370765044,357787336,357787354,18
3371173448,358195740,,#N/A
3371673449,358695741,,#N/A
3371783328,358805620,358805638,18
3372173450,359195742,,#N/A
3372673451,359695744,,#N/A
3372802772,359825064,359824594,-470
3373173452,360195744,,#N/A
3373673453,360695745,,#N/A
3373820925,360843217,360843251,34
3374173454,361195746,,#N/A
3374673455,361695747,,#N/A
3374839132,361861425,361861411,-14
3375173457,362195749,,#N/A
3375673458,362695750,,#N/A
3375857324,362879617,362879606,-11
3376173459,363195752,,#N/A
3376673461,363695753,,#N/A
3376875566,363897858,363897962,104
3377173462,364195754,,#N/A
3377673464,364695756,,#N/A
3377893998,364916290,364916264,-26
3378173465,365195757,,#N/A
3378673467,365695759,,#N/A
3378912280,365934572,365934584,12
3379173468,366195760,,#N/A
3379673469,366695761,,#N/A
3379930421,366952713,366952735,22
3380173470,367195763,,#N/A
3380673471,367695763,,#N/A
3380948663,367970956,367970987,31
3381173473,368195765,,#N/A
3381673474,368695766,,#N/A
3381966937,368989229,368989252,23
3382173476,369195768,,#N/A
3382673478,369695770,,#N/A
3382985264,370007556,370007488,-68
3383173479,370195771,,#N/A
3383673481,370695773,,#N/A
3384009491,371031783,371028752,-3031
3384173482,371195775,,#N/A
3384673483,371695775,,#N/A
3385030783,372053076,372051460,-1616
3385173484,372195776,,#N/A
3385673497,372695789,,#N/A
3386049066,373071358,373071230,-128
3386173498,373195791,,#N/A
3386673499,373695791,,#N/A
3387067404,374089697,374089611,-86
3387173500,374195792,,#N/A
3387673501,374695793,,#N/A
3388085724,375108016,375107917,-99
3388173502,375195794,,#N/A
3388673503,375695796,,#N/A
3389104033,376126325,376126328,3
3389173505,376195797,,#N/A
3389673507,376695799,,#N/A
3390122393,377144686,377144626,-60
3390173508,377195800,,#N/A
3390673510,377695802,,#N/A
3391140582,378162875,378162827,-48
3391173512,378195804,,#N/A
3391673513,378695805,,#N/A
3392158749,379181041,379180982,-59
3392173514,379195806,,#N/A
3392673516,379695808,,#N/A
3393176949,380199241,380199198,-43
3393176953,380199246,,#N/A
3393676954,380699246,,#N/A
3394195199,381217491,381217440,-51
3394195204,381217496,,#N/A
3394695205,381717497,,#N/A
3395213460,382235753,382235700,-53
3395213482,382235774,,#N/A
3395713484,382735776,,#N/A
3396231676,383253969,383253983,14
3396231681,383253973,,#N/A
3396731682,383753974,,#N/A
3397249769,384272061,384272009,-52
3397249774,384272067,,#N/A
3397749775,384772067,,#N/A
3398268035,385290327,385290297,-30
3398268039,385290331,,#N/A
3398768040,385790332,,#N/A
3399286285,386308577,386308527,-50
3399286290,386308583,,#N/A
3399786292,386808584,,#N/A
3400304616,387326908,387326828,-80
3400304621,387326914,,#N/A
3400804622,387826914,,#N/A
3401322832,388345124,388345089,-35
3401322836,388345129,,#N/A
3401822837,388845130,,#N/A
3402322838,389345130,,#N/A
3402340959,389363251,389363220,-31
3402822839,389845132,,#N/A
3403322841,390345133,,#N/A
3403359267,390381560,390381444,-116
3403822843,390845135,,#N/A
3404322844,391345136,,#N/A
3404377479,391399772,391399689,-83
3404824683,391846976,,#N/A
3405324684,392346977,,#N/A
3405395687,392417979,392417902,-77
3405824685,392846977,,#N/A
3406324686,393346978,,#N/A
3406414027,393436320,393436254,-66
3406824687,393846980,,#N/A
3407324688,394346980,,#N/A
3407432179,394454472,394454413,-59
3407824690,394846982,,#N/A
3408324691,395346984,,#N/A
3408450350,395472643,395472553,-90
3408824693,395846985,,#N/A
3409324694,396346987,,#N/A
3409468384,396490676,396490611,-65
3409824695,396846987,,#N/A
3410324696,397346989,,#N/A
3410486531,397508824,397508725,-99
3410824697,397846989,,#N/A
3411324699,398346991,,#N/A
3411504709,398527002,398526982,-20
3411824700,398846993,,#N/A
3412324701,399346993,,#N/A
3412522948,399545240,399545163,-77
3412824702,399846994,,#N/A
3413326054,400348346,,#N/A
3413541166,400563459,400563376,-83
3413826056,400848348,,#N/A
3414326057,401348349,,#N/A
3414559407,401581700,401581554,-146
3414826059,401848351,,#N/A
3415326060,402348353,,#N/A
3415577506,402599799,402599737,-62
3415826061,402848353,,#N/A
3416326063,403348355,,#N/A
3416595765,403618057,403617954,-103
3416826064,403848357,,#N/A
3417326066,404348358,,#N/A
3417614019,404636311,404636135,-176
3417826067,404848359,,#N/A
3418326068,405348360,,#N/A
3418632253,405654545,405654422,-123
3418826069,405848362,,#N/A
3419326071,406348363,,#N/A
3419650447,406672740,406672712,-28
3419826073,406848365,,#N/A
3420326074,407348367,,#N/A
3420668816,407691108,407690999,-109
3420826076,407848368,,#N/A
3421326077,408348369,,#N/A
3421687227,408709519,408709268,-251
3421826078,408848370,,#N/A
3422326080,409348372,,#N/A
3422705462,409727755,409727614,-141
3422826082,409848374,,#N/A
3423326083,410348375,,#N/A
3423723783,410746075,410745925,-150
3423826084,410848376,,#N/A
3424326085,411348378,,#N/A
3424741901,411764193,411764112,-81
3424826086,411848379,,#N/A
3425326088,412348380,,#N/A
3425760315,412782608,412782446,-162
3425826090,412848382,,#N/A
3426326091,413348384,,#N/A
